SUBPACKAGE                                          VERSION
----------                                          -------
adobeims.content                                    1.1.2
aem-bundle-remover-content                          2.0.2
aemfd-expeditor-rulebuilder-pkg                     5.0.76
cloud-config.ui.content                             1.1.2
com.adobe.granite.backup.content                    0.0.76
com.adobe.granite.conf.ui.content                   0.0.64
com.adobe.granite.monitoring.dashboard              1.5.259-CQ650-B0004
com.adobe.granite.offloading.content                1.1.66-CQ650-B0003
com.adobe.granite.platform.clientlibs               2.3.1-CQ650-B0006
com.adobe.granite.platform.content                  1.0.40-CQ650-B0004
com.adobe.granite.platform.login                    1.1.38-CQ650-B0003
com.adobe.granite.platform.welcome                  1.1.26-CQ650-B0002
com.adobe.granite.references.content                1.1.36-CQ659-B0000
com.adobe.granite.replication.content               1.0.41-CQ650-B0001
com.adobe.granite.security.content                  0.2.407-CQ650-B0006
com.adobe.granite.security.permissions.ui.content   0.0.24
com.adobe.granite.ui.content                        0.8.870-CQ651-B0194
com.adobe.granite.ui.coralui3                       1.5.42-CQ650-B0128
com.adobe.granite.ui.coralui3-rte                   0.3.50
com.adobe.granite.ui.foundation.components          0.2.5-CQ650-B0006
com.adobe.granite.ui.legacy                         1.3.1-CQ650-B0008
com.adobe.granite.workflow.content                  1.0.90-CQ650-B0002
com.adobe.reef.contexthub.content                   0.4.24
cq-cloudservices-content                            1.5.28
cq-commerce-content                                 1.7.50
cq-content-insight-content                          1.5.8
cq-contexthub-content                               1.1.14
cq-dam-cfm-content                                  0.11.120
cq-dam-content                                      2.5.830-NPR-34634-B002
cq-dam-mac-sync-pkg                                 1.5.26
cq-dam-projects-addons-content                      0.1.6
cq-dam-sample-content                               1.4.10
cq-dam-scene7-viewers-content                       2.3.96
cq-dam-stock-integration-content                    1.1.12
cq-dynamicmedia-content                             1.0.346-NPR-34634-B0001
cq-experience-fragments-content                     1.2.124
cq-experiencelog-content                            1.5.12
cq-foundation-content                               1.5.60
cq-i18n-content                                     1.5.110
cq-inbox-content                                    1.2.60
cq-integration-analytics-content                    1.3.30
cq-integration-target-content                       1.3.54
cq-launches-content                                 1.7.18
cq-mcm-content                                      1.4.60
cq-personalization-content                          1.3.106
cq-platform-content                                 1.5.164
cq-projects-content                                 1.5.36
cq-projects-translation-content                     1.4.54
cq-remotedam-client-ui-components                   1.0.18
cq-remotedam-client-ui-content                      1.0.22
cq-remotedam-server-content                         1.0.14
cq-social-activitystreams-pkg                       1.6.21
cq-social-calendar-pkg                              1.6.35
cq-social-commons-pkg                               1.10.111
cq-social-console-pkg                               1.6.74
cq-social-content-pkg                               1.8.11
cq-social-enablement-pkg                            2.3.46
cq-social-filelibrary-pkg                           1.5.20
cq-social-forum-pkg                                 1.8.31
cq-social-group-pkg                                 1.7.30
cq-social-journal-pkg                               1.6.31
cq-social-members-pkg                               1.3.17
cq-social-messaging-pkg                             1.6.22
cq-social-moderation-pkg                            2.5.23
cq-social-qna-pkg                                   1.7.20
cq-social-sync-pkg                                  1.3.8
cq-social-tally-pkg                                 1.6.3
cq-social-thirdparty-pkg                            1.5.12
cq-ui-classic-content                               1.5.48
cq-ui-touch-optimized-content                       2.6.116
cq-ui-wcm-admin-content                             1.1.104
cq-ui-wcm-commons-content                           1.1.170
cq-ui-wcm-editor-content                            1.1.388
cq-wcm-content                                      6.5.112
cq-workflow-console-content                         1.4.74
dtm-reactor.content                                 1.1.16
tsdk-aem-clientlib                                  1.1.22
