SUBPACKAGE                                          VERSION                                   VERSIONS ON INSTANCE                                                                                                                                                                                      STATUS                 CFP version is last Updated
cq-dam-scene7-viewers-content                       2.3.120                                   2.3.54, 2.3.120,                                                                                                                                                                                          Updated                True                
cq-dam-stock-integration-content                    1.1.19-CQ650-B0006                        1.1.0, 1.1.18, 1.1.19-CQ650-B0006,                                                                                                                                                                        Updated                True                
cq-dynamicmedia-content                             1.0.512-CQ650-B0022                       1.0.190, 1.0.512-CQ650-B0006, 1.0.512-CQ650-B0022,                                                                                                                                                        Updated                True                
cq-experience-fragments-content                     1.2.161-CQ650-B0004                       1.2.86, 1.2.161-CQ650-B0001, 1.2.161-CQ650-B0004,                                                                                                                                                         Updated                True                
cq-experiencelog-content                            1.5.22                                    1.5.8, 1.5.20, 1.5.22,                                                                                                                                                                                    Updated                True                
cq-foundation-content                               1.5.135-CQ-650-B0002                      1.5.40, 1.5.134, 1.5.135-CQ-650-B0002,                                                                                                                                                                    Updated                True                
cq-i18n-content                                     1.5.146-CQ650-B0002                       1.5.98, 1.5.146-CQ650-B0002, 1.5.147-CQ650-B0001,                                                                                                                                                         Not updated            False               
cq-inbox-content                                    1.2.94-CQ650-B0008                        1.2.30, 1.2.94, 1.2.94-CQ650-B0008,                                                                                                                                                                       Updated                True                
cq-integration-analytics-content                    1.3.42-CQ650-B0006                        1.3.26, 1.3.42, 1.3.42-CQ650-B0006,                                                                                                                                                                       Updated                True                
cq-integration-target-content                       1.3.66                                    1.3.46, 1.3.66,                                                                                                                                                                                           Updated                True                
cq-launches-content                                 1.7.47-CQ650-B0012                        1.7.14, 1.7.46, 1.7.47-CQ650-B0012,                                                                                                                                                                       Updated                True                
cq-mcm-content                                      1.4.86                                    1.4.50, 1.4.86,                                                                                                                                                                                           Updated                True                
cq-msm-content                                      6.5.208-CQ650-B0006                       6.5.208-CQ650-B0002, 6.5.208-CQ650-B0006,                                                                                                                                                                 Updated                True                
cq-personalization-content                          1.3.157-CQ650-B0004                       1.3.88, 1.3.157-CQ650-B0002, 1.3.157-CQ650-B0004,                                                                                                                                                         Updated                True                
cq-platform-content                                 1.5.223-CQ650-B0012                       1.5.136, 1.5.222, 1.5.223-CQ650-B0012,                                                                                                                                                                    Updated                True                
cq-projects-content                                 1.5.66-CQ650-B0012                        1.5.28, 1.5.66, 1.5.66-CQ650-B0012,                                                                                                                                                                       Updated                True                
cq-projects-translation-content                     1.4.84-CQ650-B0007                        1.4.46, 1.4.80, 1.4.84-CQ650-B0007,                                                                                                                                                                       Updated                True                
cq-remotedam-client-ui-components                   1.0.34                                    1.0.8, 1.0.34,                                                                                                                                                                                            Updated                True                
cq-remotedam-client-ui-content                      1.0.32                                    1.0.10, 1.0.32,                                                                                                                                                                                           Updated                True                
cq-remotedam-server-content                         1.0.24                                    1.0.4, 1.0.24,                                                                                                                                                                                            Updated                True                
cq-social-activitystreams-pkg                       1.6.21                                    1.6.19, 1.6.21,                                                                                                                                                                                           Updated                True                
cq-social-calendar-pkg                              1.6.35                                    1.6.32, 1.6.35,                                                                                                                                                                                           Updated                True                
cq-social-commons-pkg                               1.10.122                                  1.10.99, 1.10.115, 1.10.122,                                                                                                                                                                              Updated                True                
cq-social-connect-pkg                               1.7.26                                    1.7.12, 1.7.15, 1.7.26,                                                                                                                                                                                   Updated                True                
cq-social-console-pkg                               1.6.80                                    1.6.68, 1.6.80,                                                                                                                                                                                           Updated                True                
cq-social-content-pkg                               1.8.12                                    1.8.10, 1.8.12,                                                                                                                                                                                           Updated                True                
cq-social-enablement-pkg                            2.3.68                                    2.3.44, 2.3.54, 2.3.68,                                                                                                                                                                                   Updated                True                
cq-social-filelibrary-pkg                           1.5.20                                    1.5.16, 1.5.20,                                                                                                                                                                                           Updated                True                
cq-social-forum-pkg                                 1.8.31                                    1.8.29, 1.8.31,                                                                                                                                                                                           Updated                True                
cq-social-group-pkg                                 1.7.30                                    1.7.27, 1.7.30,                                                                                                                                                                                           Updated                True                
cq-social-journal-pkg                               1.6.32                                    1.6.29, 1.6.32,                                                                                                                                                                                           Updated                True                
cq-social-members-pkg                               1.3.17                                    1.3.13, 1.3.17,                                                                                                                                                                                           Updated                True                
cq-social-messaging-pkg                             1.6.26                                    1.6.20, 1.6.22, 1.6.26,                                                                                                                                                                                   Updated                True                
cq-social-moderation-pkg                            2.5.28                                    2.5.21, 2.5.25, 2.5.28,                                                                                                                                                                                   Updated                True                
cq-social-qna-pkg                                   1.7.24                                    1.7.19, 1.7.22, 1.7.24,                                                                                                                                                                                   Updated                True                
cq-social-sync-pkg                                  1.3.9                                     1.3.6, 1.3.9,                                                                                                                                                                                             Updated                True                
cq-social-tally-pkg                                 1.6.3                                     1.6.2, 1.6.3,                                                                                                                                                                                             Updated                True                
cq-social-thirdparty-pkg                            1.5.18                                    1.5.6, 1.5.18,                                                                                                                                                                                            Updated                True                
cq-ui-classic-content                               1.5.81-CQ650-B0026                        1.5.38, 1.5.81-CQ650-B0001, 1.5.81-CQ650-B0026,                                                                                                                                                           Updated                True                
cq-ui-touch-optimized-content                       2.6.199-CQ650-B0015                       2.6.68, 2.6.199-CQ650-B0006, 2.6.199-CQ650-B0015,                                                                                                                                                         Updated                True                
cq-ui-wcm-admin-content                             1.1.157-CQ650-B0014                       1.1.70, 1.1.157-CQ650-B0003, 1.1.157-CQ650-B0014,                                                                                                                                                         Updated                True                
cq-ui-wcm-commons-content                           1.1.287-CQ650-B0014                       1.1.124, 1.1.287-CQ650-B0003, 1.1.287-CQ650-B0014,                                                                                                                                                        Updated                True                
cq-ui-wcm-editor-content                            1.1.517-CQ650-B0024                       1.1.290, 1.1.517-CQ650-B0008, 1.1.517-CQ650-B0024,                                                                                                                                                        Updated                True                
cq-wcm-content                                      6.5.209-CQ650-B0001                       6.5.80, 6.5.208-CQ650-B0004, 6.5.209-CQ650-B0001,                                                                                                                                                         Updated                True                
cq-workflow-console-content                         1.4.100-CQ650-B0017                       1.4.62, 1.4.100, 1.4.100-CQ650-B0017,                                                                                                                                                                     Updated                True                
dtm-reactor.content                                 1.1.16                                    1.1.6, 1.1.16,                                                                                                                                                                                            Updated                True                
graphiql.ui.apps                                    0.0.47-CQ650-B0010                        0.0.47-CQ650-B0010,                                                                                                                                                                                       Updated                New                 
sites-graphql-content                               0.0.1-CQ650-B0007                         0.0.1-CQ650-B0006, 0.0.1-CQ650-B0007,                                                                                                                                                                     Updated                True                
tsdk-aem-clientlib                                  1.1.24                                    1.1.18, 1.1.24,                                                                                                                                                                                           Updated                True                
