
SUBPACKAGE                                          VERSION                                                                                                                                                                                                 STATUS                 CFP version is last Updated
cq-social-members-pkg                               1.3.17                                                                                                                                                                                                  Updated                True                
cq-social-messaging-pkg                             1.6.22                                                                                                                                                                                                  Updated                True                
cq-social-moderation-pkg                            2.5.25                                                                                                                                                                                                  Updated                True                
cq-social-qna-pkg                                   1.7.22                                                                                                                                                                                                  Updated                True                
cq-social-sync-pkg                                  1.3.9                                                                                                                                                                                                   Updated                True                
cq-social-tally-pkg                                 1.6.3                                                                                                                                                                                                   Updated                True                
cq-social-thirdparty-pkg                            1.5.18                                                                                                                                                                                                  Updated                True                
cq-ui-classic-content                               1.5.78                                                                                                                                                                                                  Updated                True                
cq-ui-touch-optimized-content                       2.6.199-CQ650-B0006                                                                                                                                                                                     Updated                True                
cq-ui-wcm-admin-content                             1.1.157-CQ650-B0003                                                                                                                                                                                     Updated                True                
cq-ui-wcm-commons-content                           1.1.287-CQ650-B0003                                                                                                                                                                                     Updated                True                
cq-ui-wcm-editor-content                            1.1.517-CQ650-B0008                                                                                                                                                                                     Updated                True                
cq-wcm-content                                      6.5.208-CQ650-B0004                                                                                                                                                                                     Updated                True                
cq-workflow-console-content                         1.4.100                                                                                                                                                                                                 Updated                True                
dtm-reactor.content                                 1.1.16                                                                                                                                                                                                  Updated                True                
graphiql.ui.apps                                    0.0.47-CQ650-B0010                                                                                                                                                                                      Updated                New                 
sites-graphql-content                               0.0.1-CQ650-B0006                                                                                                                                                                                       Updated                New                 
tsdk-aem-clientlib                                  1.1.24                                                                                                                                                                                                  Updated                True                
---------------------------------------------------------------------------------------------
SUMMARY: TOTAL SUB PACKAGES: 92  UPGRADED: 92 DOWNGRDED/MISSING: 0
---------------------------------------------------------------------------------------------
