com.adobe.xmp.schema.service, 2.0.0, Adobe XMP Schema Service
org.apache.tika.core, 1.28.5, Apache Tika core
org.apache.tika.parsers, 1.28.5, Apache Tika parsers
com.adobe.xmp.xmpcore, 6.2.9.B001, Adobe XMPCore
com.adobe.granite.osgi.wrapper.guava, 15.0.0.0002, Guava Wrapper bundle
com.adobe.granite.repository, 1.6.28.CQ650-B0008, Oak content repository
org.apache.jackrabbit.jackrabbit-data, 2.20.16, Jackrabbit Data
com.fasterxml.jackson.core.jackson-annotations, 2.16.2, Jackson-annotations
com.fasterxml.jackson.core.jackson-core, 2.16.2, Jackson-core
com.fasterxml.jackson.core.jackson-databind, 2.16.2, jackson-databind
org.mongodb.mongo-java-driver, 3.12.7, mongo-java-driver
org.apache.jackrabbit.oak-api, 1.22.22, Oak API
org.apache.jackrabbit.oak-auth-external, 1.22.22, Oak External Authentication Support
org.apache.jackrabbit.oak-auth-ldap, 1.22.22, Oak LDAP Authentication Support
org.apache.jackrabbit.oak-authorization-cug, 1.22.22, Oak CUG Authorization
org.apache.jackrabbit.oak-blob, 1.22.22, Oak Blob Store
org.apache.jackrabbit.oak-blob-cloud-azure, 1.22.22, Oak Azure Cloud Blob Store
org.apache.jackrabbit.oak-blob-plugins, 1.22.22, Oak Blob Plugins
org.apache.jackrabbit.oak-commons, 1.22.22, Oak Commons
org.apache.jackrabbit.oak-core, 1.22.22, Oak Core
org.apache.jackrabbit.oak-core-spi, 1.22.22, Oak Core SPI
org.apache.jackrabbit.oak-jcr, 1.22.22, Oak JCR Binding
org.apache.jackrabbit.oak-lucene, 1.22.22, Oak Lucene
org.apache.jackrabbit.oak-query-spi, 1.22.22, Oak Query SPI
org.apache.jackrabbit.oak-security-spi, 1.22.22, Oak Security SPI
org.apache.jackrabbit.oak-segment-azure, 1.22.22, Oak Segment Azure
org.apache.jackrabbit.oak-segment-tar, 1.22.22, Oak Segment Tar
org.apache.jackrabbit.oak-solr-osgi, 1.22.22, Oak Solr OSGi
org.apache.jackrabbit.oak-store-composite, 1.22.22, Oak Composite Store
org.apache.jackrabbit.oak-store-document, 1.22.22, Oak DocumentNodeStore
org.apache.jackrabbit.oak-store-spi, 1.22.22, Oak NodeStore and Commit SPI
com.adobe.granite.jmx, 0.3.4, Adobe Granite JMX Support
com.adobe.cq.cq-pre-upgrade-backup, 6.4.2, CQ Pre-upgrade Backup
com.adobe.cq.cq-pre-upgrade-cleanup, 6.3.8, CQ Pre-upgrade Cleanup
com.day.crx.crx-api, 2.6.6, Day CRX API
com.day.commons.day-commons-text, 1.1.14, Day Commons Library - Text Support
com.adobe.forms.foundation-forms-foundation-base, 4.0.74, Forms Foundation Base Bundle
org.apache.jackrabbit.jackrabbit-api, 2.20.0.TOMBSTONE, Apache Jackrabbit API
org.apache.jackrabbit.jackrabbit-jcr-commons, 2.20.16, Jackrabbit JCR Commons
org.apache.sling.commons.johnzon, 1.2.6, Apache Sling Commons Johnzon Wrapper Library
org.apache.sling.commons.json, 2.0.28, Apache Sling Commons JSON
org.apache.sling.commons.mime, 2.2.2, Apache Sling Commons MIME
org.apache.sling.commons.threads, 3.2.18, Apache Sling Thread Support
org.apache.sling.extensions.webconsolesecurityprovider, 1.2.8, Apache Sling Web Console Security Provider
org.apache.sling.jcr.api, 2.4.0, Apache Sling Repository API Bundle
org.apache.sling.jcr.base, 3.1.14, Apache Sling JCR Base
org.apache.sling.jcr.jcr-wrapper, 2.0.0, Apache Sling Wrapper Bundle for the JCR API
org.apache.sling.jcr.registration, 1.0.6, Apache Sling JCR Repository Registration
org.apache.sling.jcr.repoinit, 1.1.38, Apache Sling Repoinit JCR
org.apache.sling.repoinit.parser, 1.6.14, Apache Sling Repoinit Parser
com.adobe.granite.infocollector, 1.0.22, Granite Info Collector
com.adobe.granite.installer.factory.packages, 1.0.14.CQ-650-B0004, Adobe Granite Installer for Content Packages
com.day.cq.cq-jcrclustersupport, 0.7.2, Adobe Granite JCR Cluster Support
org.apache.jackrabbit.jackrabbit-spi, 2.20.16, Jackrabbit SPI
org.apache.jackrabbit.jackrabbit-spi-commons, 2.20.16, Jackrabbit SPI Commons
org.apache.jackrabbit.vault, 3.2.8, Apache Jackrabbit FileVault Core Bundle
org.apache.sling.installer.provider.jcr, 3.1.26, Apache Sling JCR Installer
org.apache.sling.jcr.contentloader, 2.2.6, Apache Sling Initial Content Loader
com.day.commons.osgi.wrapper.commons-httpclient, 3.1.0.30, Day Commons Library - HTTP Client 3.1 Bundling
org.apache.felix.systemready, 0.4.0, Apache Felix - System Ready
org.apache.sling.adapter, 2.1.10, Apache Sling Adapter Manager Implementation
org.apache.sling.auth.core, 1.5.0, Apache Sling Auth Core
org.apache.sling.commons.classloader, 1.4.2, Apache Sling Dynamic Class Loader Support
org.apache.sling.commons.scheduler, 2.7.12, Apache Sling Commons Scheduler Support
org.apache.sling.discovery.base, 2.0.8, Apache Sling Discovery Base
org.apache.sling.discovery.commons, 1.0.26, Apache Sling Discovery Commons
org.apache.sling.discovery.oak, 1.2.22, Apache Sling Oak-Based Discovery Service
org.apache.sling.discovery.support, 1.0.4, Apache Sling Discovery Support Bundle
org.apache.sling.featureflags, 1.2.2, Apache Sling Feature Flags
org.apache.sling.jcr.resource, 3.0.18, Apache Sling JCR Resource Resolver
org.apache.sling.resourceaccesssecurity, 1.1.0, Apache Sling Resource Access Security
org.apache.sling.resourceresolver, 1.10.0, Apache Sling Resource Resolver
org.apache.sling.scripting.api, 2.2.0, Apache Sling Scripting Implementation API
com.adobe.granite.maintenance.oak, 1.0.54, Granite Maintenance OAK
com.adobe.granite.oauth.server, 1.1.34, Adobe Granite OAuth Server (DEPRECATED)
org.apache.oltu.oauth2.authzserver, 1.0.0, org.apache.oltu.oauth2.authzserver
org.apache.oltu.oauth2.common, 1.0.1, Apache Oltu - OAuth 2.0 - Common
org.apache.oltu.oauth2.resourceserver, 1.0.0, org.apache.oltu.oauth2.resourceserver
org.apache.abdera.client, 1.1.3, Abdera Client
org.apache.abdera.core, 1.1.3, Abdera Core
org.apache.abdera.extensions-media, 1.1.3, Abdera Extensions - Media
org.apache.abdera.extensions-opensearch, 1.1.3, Abdera Extensions - OpenSearch
org.apache.abdera.i18n, 1.1.3, I18N Libraries
org.apache.abdera.server, 1.1.3, Abdera Server
com.adobe.aemds.formsmanager.adobe-aemds-formsanddocuments-core, 8.0.70, AEM Forms and Documents Core
com.day.cq.dam.adobe-dam-idsprint, 0.4.10, Adobe DAM InDesign Print
com.adobe.livecycle.formsportal-bundle, 8.0.50, Adobe FormsPortal Services Bundle
com.adobe.forms.common.adobe-xfaforms-common, 8.0.168, Mobile Forms Common Bundle
com.day.cq.dam.adobe-xmp, 5.12.8, Day Communique 5 DAM Adobe extension
com.adobe.cq.adobeims.core, 1.1.26, Adobe IMS Core Bundle
aem-api-metrics, 2.6.67.SNAPSHOT, AEM API metrics agent
aem-api-metrics-registry-based-vault-addon, 1.0.4, AEM API metrics agent add-on for registry-based vault package analysis
com.adobe.aemds.guide.aemds-guide-core, 6.0.96, Adaptive Forms Core API
